,PROPERTY VALUE,ONTOLOGY TERM LABEL(S),ONTOLOGY TERM(S),ONTOLOGY(S),SOURCE(S),ontology_uri
1666,Soybean vein necrosis virus,Soybean vein necrosis virus,NCBITaxon_980895,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_980895
1667,Soybean yellow shoot virus,Soybean yellow shoot virus,NCBITaxon_2233870,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2233870
1668,Spartina mottle virus,Spartina mottle virus,NCBITaxon_190503,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_190503
1669,Sphaeropsis linhaiensis,Sphaeropsis,NCBITaxon_66737,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_66737
1670,Sphaerulina vaccinii,Sphaerulina vaccinii,NCBITaxon_2753775,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2753775
1671,Spilostethus hospes,Spilostethus hospes,NCBITaxon_299281,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_299281
1672,Spilostethus pandurus,Spilostethus pandurus,NCBITaxon_696888,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_696888
1673,Spinach latent virus,Spinach latent virus,NCBITaxon_42680,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_42680
1674,Spiranthes mosaic virus 3,Spiranthes mosaic virus 3,NCBITaxon_290031,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_290031
1675,Spodoptera cosmioides,Spodoptera cosmioides,NCBITaxon_134402,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_134402
1676,Spodoptera littoralis,Spodoptera littoralis,NCBITaxon_7109,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_7109
1677,Spodoptera ornithogalli,Spodoptera ornithogalli,NCBITaxon_42029,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_42029
1678,Spodoptera praefica,Spodoptera praefica,NCBITaxon_134414,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_134414
1679,Sporothrix aurorae,Sporothrix aurorae,NCBITaxon_373691,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_373691
1680,Squash leaf curl China virus,Squash leaf curl China virus,NCBITaxon_223323,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_223323
1681,Stagonosporopsis cucurbitacearum,Stagonosporopsis cucurbitacearum,NCBITaxon_749889,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_749889
1682,Steinernema pakistanense,Steinernema pakistanense,NCBITaxon_232967,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_232967
1683,Stemphylium eturmiunum,Stemphylium eturmiunum,NCBITaxon_235069,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_235069
1684,Stemphylium lycopersici,Stemphylium lycopersici,NCBITaxon_183478,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_183478
1685,Stenocarpella macrospora,Stenocarpella macrospora,NCBITaxon_371126,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_371126
1686,Stenocarpella maydis,Stenocarpella maydis,NCBITaxon_238245,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_238245
1687,Stenocranus pacificus,Stenocranus pacificus,NCBITaxon_2282867,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2282867
1688,Stephanitis typica,Stephanitis typica,NCBITaxon_1544437,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1544437
1689,Stereonychus fraxini,Stereonychus fraxini,NCBITaxon_202212,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_202212
1690,Stigmaeopsis nanjingensis,Stigmaeopsis nanjingensis,NCBITaxon_486490,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_486490
1691,Stilbocrea banihashemiana,Stilbocrea banihashemiana,NCBITaxon_2916666,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2916666
1692,Stinging Caterpillar,caterpillar stage,UBERON_0014864,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/uberon.owl,http://purl.obolibrary.org/obo/UBERON_0014864
1693,Strauzia longipennis,Strauzia longipennis,NCBITaxon_503478,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_503478
1694,Strawberry crinivirus 3,Strawberry crinivirus 3,NCBITaxon_499955,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_499955
1695,Strawberry crinivirus 4,Strawberry crinivirus 4,NCBITaxon_523741,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_523741
1696,Strawberry mottle virus,Strawberry mottle virus,NCBITaxon_167161,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_167161
1697,Strawberry pallidosis-associated virus,Strawberry pallidosis-associated virus,NCBITaxon_227507,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_227507
1698,Strawberry Polerovirus 1,Strawberry polerovirus 1,NCBITaxon_1564903,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1564903
1699,Strawberry virus 1,Strawberry virus 1,NCBITaxon_2664234,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2664234
1700,Striacosta albicosta,Striacosta albicosta,NCBITaxon_437490,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_437490
1701,Strobilomyia laricicola,Strobilomyia laricicola,NCBITaxon_346535,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_346535
1702,Strobilomyia viaria,Strobilomyia viaria,NCBITaxon_346532,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_346532
1703,Stromatium barbatum,Stromatium barbatum,NCBITaxon_1784978,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1784978
1704,Sugarcane mosaic virus,Sugarcane mosaic virus,NCBITaxon_12224,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_12224
1705,Sweet Potato Feathery Mottle Virus,Sweet potato feathery mottle virus,NCBITaxon_12844,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_12844
1706,Sweet potato latent virus,Sweet potato latent virus,NCBITaxon_31743,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_31743
1707,Sweet potato leaf curl Bengal virus,Sweet potato leaf curl Bengal virus,NCBITaxon_693892,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_693892
1708,Sweetbriar rose curly-top associated virus,Sweetbriar rose curly top-associated virus,NCBITaxon_2875869,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2875869
1709,Symmetrischema tangolias,Symmetrischema tangolias,NCBITaxon_1216959,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1216959
1710,Takahashia Japonica,Takahashia japonica,NCBITaxon_1661421,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1661421
1711,Talaromyces albobiverticillius,Talaromyces albobiverticillius,NCBITaxon_1441468,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1441468
1712,Talaromyces funiculosus,Talaromyces funiculosus,NCBITaxon_28572,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_28572
1713,Tanzanian lethal decline phytoplasma,Tanzanian lethal decline phytoplasma,NCBITaxon_488932,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_488932
1714,Teratosphaeria zuluensis,Teratosphaeria zuluensis,NCBITaxon_658931,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_658931
1715,Tessaratoma javanica,Tessaratoma javanica,NCBITaxon_1403543,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1403543
1716,Tetraneura nigriabdominalis,Tetraneura nigriabdominalis,NCBITaxon_1308603,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1308603
1717,Tetranychus kanzawai,Tetranychus kanzawai,NCBITaxon_50028,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_50028
1718,Tetranychus lombardinii,Tetranychus lombardinii,NCBITaxon_1490240,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1490240
1719,Tetranychus mexicanus,Tetranychus mexicanus,NCBITaxon_2794280,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2794280
1720,Tetropium gracilicorne,Tetropium gracilicorne,NCBITaxon_266756,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_266756
1721,Thanatephorus cucumeris,Thanatephorus cucumeris,NCBITaxon_107832,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_107832
1722,Thaumetopoea pinivora,Thaumetopoea pinivora,NCBITaxon_419132,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_419132
1723,Thaumetopoea pityocampa,Thaumetopoea pityocampa,NCBITaxon_208016,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_208016
1724,Thaumetopoea processionea,Thaumetopoea processionea,NCBITaxon_499230,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_499230
1725,Thecaphora dahuangis,Thecaphora dahuangis,NCBITaxon_2905971,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2905971
1726,Thecaphora frezii,Thecaphora frezii,NCBITaxon_1269715,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1269715
1727,Thecodiplosis japonensis,Thecodiplosis japonensis,NCBITaxon_224261,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_224261
1728,Thekopsora minima,Thekopsora minima,NCBITaxon_761846,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/pso.owl#,http://purl.obolibrary.org/obo/NCBITaxon_761846
1729,Thielaviopsis basicola = Berkeleyomyces basicola,Berkeleyomyces basicola,NCBITaxon_124036,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_124036
1730,Thrips setosus,Thrips setosus,NCBITaxon_163897,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_163897
1731,Thysanofiorinia leei,Thysanofiorinia leei,NCBITaxon_2823866,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2823866
1732,Tilletia walkeri,Tilletia walkeri,NCBITaxon_117179,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_117179
1733,Tobacco etch virus,Tobacco etch virus,NCBITaxon_12227,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_12227
1734,Tobacco leaf curl Puer virus,Tobacco leaf curl Puer virus,NCBITaxon_2886212,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2886212
1735,Tobacco streak virus (TSV000),Tobacco streak virus,NCBITaxon_12317,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_12317
1736,Tobacco yellow virus,Tobacco yellow virus,NCBITaxon_2726019,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2726019
1737,Tomato apical leaf curl virus,Tomato apical leaf curl virus,NCBITaxon_2060142,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2060142
1738,Tomato brown rugose fruit virus,Tomato brown rugose fruit virus,NCBITaxon_1761477,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1761477
1739,Tomato chlorotic dwarf viroid,Tomato chlorotic dwarf viroid,NCBITaxon_100785,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_100785
1740,Tomato chlorotic leaf curl virus,Tomato chlorotic leaf curl virus,NCBITaxon_2015441,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2015441
1741,Tomato chlorotic spot virus,Tomato chlorotic spot virus,NCBITaxon_12851,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_12851
1742,Tomato fruit blotch virus,Tomato fruit blotch virus,NCBITaxon_2762435,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2762435
1743,Tomato infectious chlorosis virus,Tomato infectious chlorosis virus,NCBITaxon_52135,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_52135
1744,Tomato interveinal yellowing virus,Tomato interveinal yellowing virus,NCBITaxon_2822585,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2822585
1745,Tomato leaf curl Kunene virus,Tomato leaf curl Kunene virus,NCBITaxon_2740451,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2740451
1746,Tomato leaf curl virus,Tomato leaf curl virus,NCBITaxon_28350,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_28350
1747,Tomato mosaic virus,Tomato mosaic virus,NCBITaxon_12253,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_12253
1748,Tomato mottle leaf distortion virus,Tomato mottle leaf distortion virus,NCBITaxon_2875796,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2875796
1749,Tomato mottle mosaic virus,Tomato mottle mosaic virus,NCBITaxon_1391702,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1391702
1750,Tomato planta macho viroid,Tomato planta macho viroid,NCBITaxon_12888,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_12888
1751,Tomato torrado virus,Tomato torrado virus,NCBITaxon_370833,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_370833
1752,Tomato Twisted Leaf Virus,Tomato twisted leaf virus,NCBITaxon_2571287,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2571287
1753,Tomato vein clearing leaf deformation virus,Tomato vein clearing leaf deformation virus,NCBITaxon_2603436,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2603436
1754,Tomato yellow ring virus,Tomato yellow ring virus,NCBITaxon_304859,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_304859
1755,Tomato zonate spot virus,Tomato zonate spot virus,NCBITaxon_460926,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_460926
1756,Tomicus armandii,Tomicus armandii,NCBITaxon_768151,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_768151
1757,Tomicus destruens,Tomicus destruens,NCBITaxon_143021,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_143021
1758,Toumeyella parvicornis,Toumeyella parvicornis,NCBITaxon_1657292,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1657292
1759,Trialeurodes ricini,Trialeurodes ricini,NCBITaxon_362611,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_362611
1760,Trichilogaster acaciaelongifoliae,Trichilogaster acaciaelongifoliae,NCBITaxon_425473,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_425473
1761,Trichoderma afroharzianum,Trichoderma afroharzianum,NCBITaxon_1567482,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1567482
1762,Trichoferus campestris,Trichoferus campestris,NCBITaxon_351093,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_351093
1763,Trifolium pratense virus A,Trifolium pratense virus A,NCBITaxon_2448906,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2448906
1764,Trionymus bambusae,Trionymus bambusae,NCBITaxon_1127706,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1127706
1765,Trioza melaleucae,Trioza melaleucae,NCBITaxon_2814575,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2814575
1766,Triticum mosaic virus,Triticum mosaic virus,NCBITaxon_431317,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_431317
1767,Truncatella angustata,Truncatella angustata,NCBITaxon_152316,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_152316
1768,Truncatella hartigii,Truncatella hartigii,NCBITaxon_358222,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_358222
1769,Trypophloeus klimeschi,Trypophloeus klimeschi,NCBITaxon_1897469,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1897469
1770,Tubakia americana,Tubakia americana,NCBITaxon_2058144,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2058144
1771,Tulip streak virus,Tulip streak virus,NCBITaxon_2761348,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2761348
1772,Turnip crinkle virus,Turnip crinkle virus,NCBITaxon_11988,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_11988
1773,Uraecha angusta,Uraecha angusta,NCBITaxon_1191634,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1191634
1774,Urd Bean Leaf Crinkle Virus,Bean mosaic crinkle Barbados virus,NCBITaxon_757427,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_757427
1775,Urocerus albicornis,Urocerus albicornis,NCBITaxon_1142935,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1142935
1776,Uromyces aloes,Uromyces aloes,NCBITaxon_413147,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_413147
1777,Ustilago syntherismae,Ustilago syntherismae,NCBITaxon_307762,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_307762
1778,Vatiga illudens,Vatiga illudens,NCBITaxon_2447889,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2447889
1779,Venturia asperata,Venturia asperata,NCBITaxon_86256,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_86256
1780,Vittatidera zeaphila,Vittatidera zeaphila,NCBITaxon_1031276,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1031276
1781,Vossia cuspidata,Vossia cuspidata,NCBITaxon_796789,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_796789
1782,Wasabi mottle virus,Wasabi mottle virus,NCBITaxon_1169032,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1169032
1783,Watermelon crinkle leaf associated virus 1 and 2,Avian myeloblastosis-associated virus 1/2,NCBITaxon_31668,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_31668
1784,Watermelon Green Mottle Mosaic Virus,Watermelon green mottle mosaic virus,NCBITaxon_2485835,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2485835
1785,Watermelon mosaic virus,Watermelon mosaic virus,NCBITaxon_146500,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_146500
1786,Wheat mosaic virus,Wheat mosaic virus,NCBITaxon_70735,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_70735
1787,Wheat streak mosaic virus,Wheat streak mosaic virus,NCBITaxon_31741,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_31741
1788,Wheat stripe mosaic virus,Wheat stripe mosaic virus,NCBITaxon_2364281,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2364281
1789,Wheat white spike virus,Wheat white spike virus,NCBITaxon_2871179,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2871179
1790,Wheat yellow dwarf virus,Wheat yellow dwarf virus,NCBITaxon_1054216,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1054216
1791,Wild tomato mosaic virus,Wild tomato mosaic virus,NCBITaxon_400396,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_400396
